grid_cell,cell_lat,cell_lon,risk_score,risk_label,risk_flag,target_nuisance_binary,total_complaints,total_nuisance,open_violations,dist_to_nearest_siren_km,siren_coverage_gap,nuisance_rate,open_violation_rate,chronic_parcel_rate
32.3100_-86.3450,32.31,-86.345,0.0,,0,0.0,272.0,102.0,0.0,0.9258,0,0.375,0.0,0.0
32.3100_-86.3500,32.31,-86.35,0.0,,0,0.0,87.0,35.0,0.0,1.0919,0,0.4023,0.0,0.0
32.3100_-86.3550,32.31,-86.355,0.0,,0,0.0,10.0,8.0,0.0,1.4032,0,0.8,0.0,0.0
32.3100_-86.3600,32.31,-86.36,0.0,,0,0.0,146.0,0.0,0.0,1.7853,0,0.0,0.0,0.0
32.3100_-86.3650,32.31,-86.365,0.0,,0,0.0,5.0,0.0,0.0,1.6938,0,0.0,0.0,0.0
32.3100_-86.3700,32.31,-86.37,0.0,,0,0.0,43.0,4.0,0.0,1.224,0,0.093,0.0,0.0
32.3100_-86.3750,32.31,-86.375,0.0,,0,0.0,9.0,1.0,0.0,0.7542,0,0.1111,0.0,0.0
32.3100_-86.3800,32.31,-86.38,0.0,,0,0.0,146.0,43.0,0.0,0.2847,0,0.2945,0.0,0.0
32.3100_-86.3850,32.31,-86.385,0.9896057256171719,High,1,1.0,198.0,82.0,0.0,0.187,0,0.4141,0.0,0.0
32.3100_-86.3900,32.31,-86.39,0.004980833732630571,Low,0,0.0,25.0,8.0,0.0,0.6561,0,0.32,0.0,0.0
32.3100_-86.3950,32.31,-86.395,0.0,,0,0.0,16.0,3.0,0.0,1.1259,0,0.1875,0.0,0.0
32.3100_-86.4000,32.31,-86.4,0.0,,0,0.0,57.0,20.0,0.0,1.5957,0,0.3509,0.0,0.0
32.3100_-86.4050,32.31,-86.405,0.0,,0,0.0,74.0,10.0,0.0,2.0656,0,0.1351,0.0,0.0
32.3100_-86.4100,32.31,-86.41,0.0,,0,0.0,5.0,2.0,0.0,2.5354,0,0.4,0.0,0.0
32.3150_-86.1300,32.315,-86.13,0.0,,0,0.0,31.0,7.0,0.0,1.3507,0,0.2258,0.0,0.0
32.3150_-86.1350,32.315,-86.135,0.0,,0,0.0,31.0,3.0,0.0,1.0565,0,0.0968,0.0,0.0
32.3150_-86.1400,32.315,-86.14,0.0,,0,0.0,47.0,22.0,0.0,0.7689,0,0.4681,0.0,0.0
32.3150_-86.1450,32.315,-86.145,0.0,,0,0.0,7.0,0.0,0.0,0.7125,0,0.0,0.0,0.0
32.3150_-86.1750,32.315,-86.175,0.0,,0,0.0,6.0,1.0,0.0,2.6641,0,0.1667,0.0,0.0
32.3150_-86.1800,32.315,-86.18,0.0,,0,0.0,10.0,0.0,0.0,2.632,0,0.0,0.0,0.0
32.3150_-86.1850,32.315,-86.185,0.0,,0,0.0,1.0,0.0,0.0,2.6831,0,0.0,0.0,0.0
32.3150_-86.1900,32.315,-86.19,0.0,,0,0.0,10.0,1.0,0.0,2.3526,0,0.1,0.0,0.0
32.3150_-86.1950,32.315,-86.195,0.0,,0,0.0,19.0,5.0,0.0,1.9505,0,0.2632,0.0,0.0
32.3150_-86.2000,32.315,-86.2,0.0,,0,0.0,4.0,1.0,0.0,1.5862,0,0.25,0.0,0.0
32.3150_-86.2050,32.315,-86.205,0.0,,0,0.0,19.0,7.0,0.0,1.292,0,0.3684,0.0,0.0
32.3150_-86.2100,32.315,-86.21,0.0,,0,0.0,146.0,36.0,0.0,1.1242,0,0.2466,0.0,0.0
32.3150_-86.2150,32.315,-86.215,0.0,,0,0.0,125.0,50.0,0.0,0.9091,0,0.4,0.0,0.0
32.3150_-86.2200,32.315,-86.22,0.0,,0,0.0,9.0,2.0,0.0,0.8255,0,0.2222,0.0,0.0
32.3150_-86.2250,32.315,-86.225,0.0,,0,0.0,35.0,15.0,0.0,0.9889,0,0.4286,0.0,0.0
32.3150_-86.2300,32.315,-86.23,0.0,,0,0.0,17.0,7.0,0.0,1.3099,0,0.4118,0.0,0.0
32.3150_-86.2350,32.315,-86.235,0.0,,0,0.0,82.0,46.0,0.0,1.4685,0,0.561,0.0,0.0
32.3150_-86.2400,32.315,-86.24,0.04477704781076726,Low,0,0.0,181.0,83.0,0.0,1.4689,0,0.4586,0.0,0.0
32.3150_-86.2450,32.315,-86.245,0.0,,0,0.0,162.0,67.0,0.0,1.324,0,0.4136,0.0,0.0
32.3150_-86.2500,32.315,-86.25,0.0,,0,0.0,145.0,63.0,0.0,0.8546,0,0.4345,0.0,0.0
32.3150_-86.2550,32.315,-86.255,0.9543889041290545,High,1,1.0,164.0,76.0,0.0,0.3863,0,0.4634,0.0,0.0
