grid_cell,total_complaints,total_nuisance,total_chronic_locations,days_since_last_complaint,complaint_years_active,most_common_dept,avg_resolution_days,nuisance_rate,pct_call_center,complaint_count_30d,nuisance_count_30d,chronic_loc_count_30d,complaint_count_60d,nuisance_count_60d,chronic_loc_count_60d,complaint_count_90d,nuisance_count_90d,chronic_loc_count_90d,total_violations,open_violations,env_violations,chronic_parcels,unique_parcels,violation_years_active,lien_filed_count,avg_lien_status,open_violation_rate,env_violation_rate,chronic_parcel_rate,dist_to_nearest_siren_km,siren_coverage_gap,target_nuisance_binary,target_nuisance_count,target_any_complaint,cell_lat,cell_lon
32.3900_-86.2700,388.0,213.0,315.0,0.0,6.0,2.0,19.956043956043956,0.549,0.7912371134020618,9.0,2.0,4.0,9.0,2.0,4.0,15.0,4.0,9.0,154.0,35.0,134.0,113.0,50.0,6.0,4.0,0.06493506493506493,0.2273,0.8701,2.26,1.2287,0,1.0,2.0,1.0,32.39,-86.27
32.3900_-86.2750,279.0,105.0,220.0,0.0,6.0,2.0,12.138059701492537,0.3763,0.9175627240143369,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,130.0,15.0,81.0,105.0,27.0,6.0,1.0,0.015384615384615385,0.1154,0.6231,3.8889,0.8082,0,0.0,0.0,1.0,32.39,-86.275
32.3900_-86.2800,407.0,193.0,305.0,0.0,6.0,2.0,21.03072625698324,0.4742,0.9434889434889435,6.0,1.0,4.0,6.0,1.0,4.0,12.0,6.0,7.0,342.0,86.0,316.0,275.0,97.0,6.0,8.0,0.14035087719298245,0.2515,0.924,2.8351,0.4874,0,1.0,1.0,1.0,32.39,-86.28
32.3900_-86.2850,71.0,38.0,54.0,487.0,5.0,2.0,23.08955223880597,0.5352,0.9436619718309859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,19.0,60.0,58.0,19.0,6.0,6.0,0.2361111111111111,0.2639,0.8333,3.0526,0.5126,0,0.0,0.0,0.0,32.39,-86.285
32.3900_-86.2950,277.0,18.0,269.0,0.0,6.0,0.0,7.833976833976834,0.065,0.6425992779783394,13.0,0.0,13.0,13.0,0.0,13.0,20.0,0.0,20.0,40.0,18.0,39.0,31.0,13.0,6.0,8.0,0.525,0.45,0.975,2.3846,1.2789,0,0.0,0.0,1.0,32.39,-86.295
32.3900_-86.3000,146.0,91.0,88.0,0.0,6.0,2.0,12.507352941176471,0.6233,0.910958904109589,3.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,3.0,184.0,40.0,183.0,158.0,47.0,6.0,15.0,0.24456521739130435,0.2174,0.9946,3.3617,1.7272,0,1.0,1.0,1.0,32.39,-86.3
32.3900_-86.3050,64.0,37.0,48.0,30.0,6.0,2.0,6.862068965517241,0.5781,0.9375,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,34.0,18.0,34.0,19.0,17.0,6.0,2.0,0.20588235294117646,0.5294,1.0,1.1176,1.8045,0,1.0,3.0,1.0,32.39,-86.305
32.3900_-86.3100,8.0,0.0,7.0,456.0,4.0,15.0,4.142857142857143,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6077,0,0.0,0.0,0.0,32.39,-86.31
32.3900_-86.3150,9.0,0.0,5.0,456.0,3.0,15.0,3.625,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5342,0,0.0,0.0,0.0,32.39,-86.315
32.3900_-86.3500,3.0,3.0,2.0,456.0,2.0,14.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2658,0,0.0,0.0,0.0,32.39,-86.35
32.3900_-86.3600,2.0,1.0,0.0,1249.0,1.0,2.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.764,0,0.0,0.0,0.0,32.39,-86.36
